CURSO ACADEMICO;C. NIVEL;NIVEL EDUCATIVO;C. NORMA;NORMA;C.EXPEDIENTE;EXPEDIENTE;C. ESTUDIO;ESTUDIO;C. CURRICULO;CURRICULO;C. REGIMEN IMP;REGIMEN IMP;REGIMEN MATRICULACION;CURSO;C. ITINERARIO;ITINERARIO
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;G;General;DI;Distancia;Distancia;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;G;General;DI;Distancia;Distancia;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;G;General;NC;Nocturno;Nocturno - Modelo B;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;G;General;NC;Nocturno;Nocturno - Modelo B;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;G;General;PR;Presencial;Ordinario;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;G;General;PR;Presencial;Ordinario;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;IB;Bachillerato Internacional;PR;Presencial;IB-Bachillerato Internacional;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;IB;Bachillerato Internacional;PR;Presencial;IB-Bachillerato Internacional;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800101;Bachillerato de Ciencias;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;A;Adultos;NC;Nocturno;Nocturno - Modelo A;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;A;Adultos;NC;Nocturno;Nocturno - Modelo A;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;A;Adultos;NC;Nocturno;Nocturno - Modelo A;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;A;Adultos;NC;Nocturno;Nocturno - Modelo A;3;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;A;Adultos;NC;Nocturno;Nocturno - Modelo A;3;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;BB;Bachibac;PR;Presencial;Bachibac;1;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;BB;Bachibac;PR;Presencial;Bachibac;1;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;BB;Bachibac;PR;Presencial;Bachibac;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;BB;Bachibac;PR;Presencial;Bachibac;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;DI;Distancia;Distancia;1;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;DI;Distancia;Distancia;1;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;DI;Distancia;Distancia;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;DI;Distancia;Distancia;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;NC;Nocturno;Nocturno - Modelo B;1;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;NC;Nocturno;Nocturno - Modelo B;1;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;NC;Nocturno;Nocturno - Modelo B;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;NC;Nocturno;Nocturno - Modelo B;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;PR;Presencial;Ordinario;1;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;PR;Presencial;Ordinario;1;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;PR;Presencial;Ordinario;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;G;General;PR;Presencial;Ordinario;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IB;Bachillerato Internacional;PR;Presencial;IB-Bachillerato Internacional;1;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IB;Bachillerato Internacional;PR;Presencial;IB-Bachillerato Internacional;1;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IB;Bachillerato Internacional;PR;Presencial;IB-Bachillerato Internacional;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IB;Bachillerato Internacional;PR;Presencial;IB-Bachillerato Internacional;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;1;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;1;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;2;CCS;Itinerario de Ciencias Sociales
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800102;Bachillerato de Humanidades y Ciencias Sociales;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;2;HMD;Itinerario de Humanidades
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;A;Adultos;NC;Nocturno;Nocturno - Modelo A;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;A;Adultos;NC;Nocturno;Nocturno - Modelo A;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;A;Adultos;NC;Nocturno;Nocturno - Modelo A;3;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;BB;Bachibac;PR;Presencial;Bachibac;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;BB;Bachibac;PR;Presencial;Bachibac;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;G;General;DI;Distancia;Distancia;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;G;General;DI;Distancia;Distancia;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;G;General;NC;Nocturno;Nocturno - Modelo B;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;G;General;NC;Nocturno;Nocturno - Modelo B;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;G;General;PR;Presencial;Ordinario;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;G;General;PR;Presencial;Ordinario;2;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;1;;
2.021;1060;Bachillerato;5;LOMCE;133;Bachillerato;10800103;Bachillerato de Artes;IEX;Investigación/Excelencia;PR;Presencial;Bachillerato de Investigación Excelencia;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12100201;CFGM: Conducción de Actividades Físico-Deportivas en el Medio Natural;12100201;Conducción de Actividades Físico-Deportivas en el Medio Natu;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12100201;CFGM: Conducción de Actividades Físico-Deportivas en el Medio Natural;12100201;Conducción de Actividades Físico-Deportivas en el Medio Natu;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12100201;CFGM: Conducción de Actividades Físico-Deportivas en el Medio Natural;12100201;Conducción de Actividades Físico-Deportivas en el Medio Natu;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12100201;CFGM: Conducción de Actividades Físico-Deportivas en el Medio Natural;12100201;Conducción de Actividades Físico-Deportivas en el Medio Natu;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12100201;CFGM: Conducción de Actividades Físico-Deportivas en el Medio Natural;12100201;Conducción de Actividades Físico-Deportivas en el Medio Natu;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12100201;CFGM: Conducción de Actividades Físico-Deportivas en el Medio Natural;12100201;Conducción de Actividades Físico-Deportivas en el Medio Natu;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101005;CFGM: Joyería;12101005;Joyería;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101005;CFGM: Joyería;12101005;Joyería;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101005;CFGM: Joyería;12101005;Joyería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101005;CFGM: Joyería;12101005;Joyería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101005;CFGM: Joyería;12101005;Joyería;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101005;CFGM: Joyería;12101005;Joyería;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;EL;E-learning;On-line;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;EL;E-learning;On-line;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;2;LOGSE;12101901;CFGM: Cuidados Auxiliares de Enfermería;12101901;Cuidados Auxiliares de Enfermería;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110101;CFGM: Producción Agroecológica;12110101;Producción Agroecológica;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110101;CFGM: Producción Agroecológica;12110101;Producción Agroecológica;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110101;CFGM: Producción Agroecológica;12110101;Producción Agroecológica;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110101;CFGM: Producción Agroecológica;12110101;Producción Agroecológica;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110101;CFGM: Producción Agroecológica;12110101;Producción Agroecológica;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110101;CFGM: Producción Agroecológica;12110101;Producción Agroecológica;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110102;CFGM: Producción Agropecuaria;12110102;Producción Agropecuaria;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110102;CFGM: Producción Agropecuaria;12110102;Producción Agropecuaria;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110102;CFGM: Producción Agropecuaria;12110102;Producción Agropecuaria;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110102;CFGM: Producción Agropecuaria;12110102;Producción Agropecuaria;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110102;CFGM: Producción Agropecuaria;12110102;Producción Agropecuaria;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110102;CFGM: Producción Agropecuaria;12110102;Producción Agropecuaria;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110103;CFGM: Jardinería y Floristería;12110103;Jardinería y Floristería;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110103;CFGM: Jardinería y Floristería;12110103;Jardinería y Floristería;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110103;CFGM: Jardinería y Floristería;12110103;Jardinería y Floristería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110103;CFGM: Jardinería y Floristería;12110103;Jardinería y Floristería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110103;CFGM: Jardinería y Floristería;12110103;Jardinería y Floristería;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110103;CFGM: Jardinería y Floristería;12110103;Jardinería y Floristería;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110104;CFGM: Aprovechamiento y Conservación del Medio Natural;12110104;Aprovechamiento y Conservación del Medio Natural;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110104;CFGM: Aprovechamiento y Conservación del Medio Natural;12110104;Aprovechamiento y Conservación del Medio Natural;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110104;CFGM: Aprovechamiento y Conservación del Medio Natural;12110104;Aprovechamiento y Conservación del Medio Natural;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110104;CFGM: Aprovechamiento y Conservación del Medio Natural;12110104;Aprovechamiento y Conservación del Medio Natural;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110301;CFGM: Panadería, Repostería y Confitería;12110301;Panadería, Repostería y Confitería;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110301;CFGM: Panadería, Repostería y Confitería;12110301;Panadería, Repostería y Confitería;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110301;CFGM: Panadería, Repostería y Confitería;12110301;Panadería, Repostería y Confitería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110301;CFGM: Panadería, Repostería y Confitería;12110301;Panadería, Repostería y Confitería;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110301;CFGM: Panadería, Repostería y Confitería;12110301;Panadería, Repostería y Confitería;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110301;CFGM: Panadería, Repostería y Confitería;12110301;Panadería, Repostería y Confitería;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;DI;Distancia;Semipresencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;DI;Distancia;Semipresencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;EL;E-learning;On-line;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;EL;E-learning;On-line;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110302;CFGM: Aceites de Oliva y Vinos;12110302;Aceites de Oliva y Vinos;G;General;PR;Presencial;Presencial;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110303;CFGM: Elaboración de Productos Alimenticios;12110303;Elaboración de Productos Alimenticios;G;General;LI;Libre;Pruebas Libres;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110303;CFGM: Elaboración de Productos Alimenticios;12110303;Elaboración de Productos Alimenticios;G;General;LI;Libre;Pruebas Libres;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110303;CFGM: Elaboración de Productos Alimenticios;12110303;Elaboración de Productos Alimenticios;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110303;CFGM: Elaboración de Productos Alimenticios;12110303;Elaboración de Productos Alimenticios;G;General;MO;Modular o Parcial;Oferta Parcial - Modular Específica;2;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110303;CFGM: Elaboración de Productos Alimenticios;12110303;Elaboración de Productos Alimenticios;G;General;PR;Presencial;Presencial;1;;
2.021;1210;Ciclos Formativos de F.P. de Grado Medio;4;LOE;12110303;CFGM: Elaboración de Productos Alimenticios;12110303;Elaboración de Productos Alimenticios;G;General;PR;Presencial;Presencial;2;;
