,Municipios,Total,CP,Provincia,new_col
6,Aldea Real,2810,40012,Segovia,PSOE
7,Aldealcorvo,190,40006,Segovia,PP
8,Aldealengua de Pedraza,800,40007,Segovia,PSOE
9,Aldealengua de Santa María,610,40008,Segovia,PSOE
10,Aldeanueva de la Serrezuela,420,40009,Segovia,PP
11,Aldeanueva del Codonal,1160,40010,Segovia,PP
12,Aldeasoña,620,40013,Segovia,1979-2015
13,Aldehorno,520,40014,Segovia,PP
14,Aldehuela del Codonal,240,40015,Segovia,PP
15,Aldeonte,560,40016,Segovia,PP
16,Anaya,1220,40017,Segovia,PP
17,Añe,680,40018,Segovia,PP
18,Arahuetes,280,40019,Segovia,PP
19,Arcones,1710,40020,Segovia,PSOE
20,Arevalillo de Cega,170,40021,Segovia,PP
21,Armuña,2460,40022,Segovia,Indep.
22,Ayllón,1153,40024,Segovia,PSOE
23,Barbolla,1390,40025,Segovia,PP
24,Basardilla,1680,40026,Segovia,IU
25,Bercial,1040,40028,Segovia,PP
26,Bercimuel,200,40029,Segovia,PSOE
27,Bernardos,4860,40030,Segovia,PSOE
28,Bernuy de Porreros,7880,40031,Segovia,PSOE
29,Boceguillas,7010,40032,Segovia,PSOE
30,Brieva,940,40033,Segovia,PP
31,Caballar,760,40034,Segovia,PP
32,Cabañas de Polendos,1840,40035,Segovia,Centrados
33,Cabezuela,6400,40036,Segovia,PSOE
34,Calabazas de Fuentidueña,270,40037,Segovia,PP
35,Campo de San Pedro,2500,40039,Segovia,PP
36,Cantalejo,3522,40040,Segovia,PP
37,Cantimpalos,1346,40041,Segovia,PSOE
38,Carabias,500,40161,Segovia,PP
39,Carbonero el Mayor,2502,40043,Segovia,PP
40,Carrascal del Río,1500,40044,Segovia,PSOE
41,Casla,1590,40045,Segovia,PSOE
42,Castillejo de Mesleón,1200,40046,Segovia,PSOE
43,Castro de Fuentidueña,470,40047,Segovia,PP
44,Castrojimeno,320,40048,Segovia,PSOE
45,Castroserna de Abajo,330,40049,Segovia,PP
46,Castroserracín,450,40051,Segovia,PP
47,Cedillo de la Torre,890,40052,Segovia,PSOE
48,Cerezo de Abajo,1150,40053,Segovia,PSOE
49,Cerezo de Arriba,1340,40054,Segovia,PSOE
50,Chañe,7080,40065,Segovia,PP
51,Cilleruelo de San Mamés,340,40055,Segovia,PSOE
52,Cobos de Fuentidueña,340,40056,Segovia,PP
53,Coca,1726,40057,Segovia,PSOE
54,Codorniz,3220,40058,Segovia,PP
55,Collado Hermoso,1290,40059,Segovia,PP
56,Condado de Castilnovo,850,40060,Segovia,PP
57,Corral de Ayllón,710,40061,Segovia,PP
58,Cozuelos de Fuentidueña,1200,40902,Segovia,PP
59,Cubillo,760,40062,Segovia,PSOE
60,Cuéllar,962,40063,Segovia,PSOE
61,Cuevas de Provanco,1270,40905,Segovia,PP
62,Domingo García,320,40068,Segovia,PP
63,Donhierro,850,40069,Segovia,PP
64,Duruelo,1900,40070,Segovia,PSOE
65,Encinas,400,40071,Segovia,PSOE
66,Encinillas,3190,40072,Segovia,PSOE
67,Escalona del Prado,4980,40073,Segovia,PP
68,Escarabajosa de Cabezas,2890,40074,Segovia,PP
69,Escobar de Polendos,1680,40075,Segovia,PP
70,El Espinar,9476,40076,Segovia,PP
71,Espirdo,1452,40077,Segovia,PP
72,Fresneda de Cuéllar,1660,40078,Segovia,Indep.
73,Fresno de Cantespino,3130,40079,Segovia,PP
74,Fresno de la Fuente,780,40080,Segovia,PP
75,Frumales,1110,40081,Segovia,PP
76,Fuente de Santa Cruz,1080,40082,Segovia,PP
77,Fuente el Olmo de Fuentidueña,1350,40083,Segovia,PP
78,Fuente el Olmo de Íscar,490,40084,Segovia,PP
79,Fuentepelayo,8040,40086,Segovia,PSOE
80,Fuentepiñel,810,40087,Segovia,PP
81,Fuenterrebollo,3320,40088,Segovia,PP
82,Fuentesaúco de Fuentidueña,2340,40089,Segovia,PP
83,Fuentesoto,1080,40091,Segovia,PSOE
84,Fuentidueña,1320,40092,Segovia,PP
85,Gallegos,990,40093,Segovia,
86,Garcillán,5120,40094,Segovia,PP
87,Gomezserracín,6600,40095,Segovia,PSOE
88,Grajera,2450,40097,Segovia,PSOE
89,Honrubia de la Cuesta,540,40099,Segovia,PP
90,Hontalbilla,2920,40100,Segovia,PP
91,Hontanares de Eresma,1502,40101,Segovia,PP
92,Los Huertos,1710,40103,Segovia,PP
93,Ituero y Lama,3970,40104,Segovia,Solución vecinal
94,Juarros de Riomoros,460,40105,Segovia,PP
95,Juarros de Voltoya,1880,40106,Segovia,PP
96,Labajos,1020,40107,Segovia,PP
97,Laguna de Contreras,1060,40108,Segovia,CLC
98,Languilla,700,40109,Segovia,PP
99,Lastras de Cuéllar,3350,40110,Segovia,Cs
100,Lastras del Pozo,550,40111,Segovia,PP
101,La Lastrilla,4186,40112,Segovia,PP
102,La Losa,5210,40113,Segovia,PSOE
103,Maderuelo,1250,40115,Segovia,PSOE
104,Marazoleja,1030,40903,Segovia,PP
105,Marazuela,520,40118,Segovia,PSOE
106,Martín Miguel,2300,40119,Segovia,PP
107,Martín Muñoz de la Dehesa,2440,40120,Segovia,PSOE
108,Martín Muñoz de las Posadas,2770,40121,Segovia,PP
109,Marugán,7140,40122,Segovia,PSOE
110,Mata de Cuéllar,2590,40124,Segovia,PP
111,Matabuena,1830,40123,Segovia,PSOE
112,La Matilla,800,40125,Segovia,PSOE
113,Melque de Cercos,590,40126,Segovia,PP
114,Membibre de la Hoz,350,40127,Segovia,PP
115,Migueláñez,1290,40128,Segovia,PP
116,Montejo de Arévalo,1740,40129,Segovia,PP
117,Montejo de la Vega de la Serrezuela,1410,40130,Segovia,PP
118,Monterrubio,600,40131,Segovia,PSOE
119,Moral de Hornuez,470,40132,Segovia,PSOE
120,Mozoncillo,8510,40134,Segovia,PSOE
121,Muñopedro,3150,40135,Segovia,PSOE
122,Muñoveros,1410,40136,Segovia,PP
123,Nava de la Asunción,2748,40138,Segovia,PSOE
124,Navafría,2990,40139,Segovia,PPN
125,Navalilla,940,40140,Segovia,PP
126,Navalmanzano,1048,40141,Segovia,PSOE
127,Navares de Ayuso,520,40142,Segovia,PSOE
128,Navares de Enmedio,920,40143,Segovia,PP
129,Navares de las Cuevas,220,40144,Segovia,Vox
130,Navas de Oro,1304,40145,Segovia,PSOE
131,Navas de Riofrío,3670,40904,Segovia,PP
132,Navas de San Antonio,3660,40146,Segovia,PP
133,Nieva,2600,40148,Segovia,PP
134,Olombrada,5190,40149,Segovia,PP
135,Orejana,660,40150,Segovia,PP
136,Ortigosa de Pestaño,460,40151,Segovia,PP
137,Ortigosa del Monte,5800,40901,Segovia,IND
138,Otero de Herreros,9570,40152,Segovia,PP
139,Pajarejos,210,40154,Segovia,PP
140,Palazuelos de Eresma,5597,40155,Segovia,PP
141,Pedraza,3420,40156,Segovia,PP
142,Pelayos del Arroyo,520,40157,Segovia,PP
143,Perosillo,150,40158,Segovia,PP
144,Pinarejos,1750,40159,Segovia,PP
145,Pinarnegrillo,1000,40160,Segovia,PP
146,Prádena,5080,40162,Segovia,PP
147,Puebla de Pedraza,430,40163,Segovia,PP
148,Rapariegos,2020,40164,Segovia,PP
149,Real Sitio de San Ildefonso,5237,40181,Segovia,PSOE
150,Rebollo,730,40165,Segovia,PP
151,Remondo,3080,40166,Segovia,PP
152,Riaguas de San Bartolomé,260,40168,Segovia,PP
153,Riaza,2135,40170,Segovia,PP
154,Ribota,450,40171,Segovia,PSOE
155,Riofrío de Riaza,340,40172,Segovia,PSOE
156,Roda de Eresma,2010,40173,Segovia,PSOE
157,Sacramenia,3730,40174,Segovia,PP
158,Samboal,4480,40176,Segovia,Indep.
159,San Cristóbal de Cuéllar,1470,40177,Segovia,Independiente
160,San Cristóbal de la Vega,880,40178,Segovia,PP
161,San Cristóbal de Segovia,3102,40906,Segovia,PP
162,San Martín y Mudrián,2430,40182,Segovia,PP
163,San Miguel de Bernuy,1380,40183,Segovia,PP
164,San Pedro de Gaíllos,2780,40184,Segovia,PP
165,Sanchonuño,9800,40179,Segovia,PP
166,Sangarcía,3060,40180,Segovia,PSOE
167,Santa María la Real de Nieva,9260,40185,Segovia,PP
168,Santa Marta del Cerro,400,40186,Segovia,PP
169,Santiuste de Pedraza,850,40188,Segovia,PSOE
170,Santiuste de San Juan Bautista,5350,40189,Segovia,PSOE
171,Santo Domingo de Pirón,590,40190,Segovia,PP
172,Santo Tomé del Puerto,2590,40191,Segovia,PSOE
173,Sauquillo de Cabezas,1410,40192,Segovia,PP
174,Sebúlcor,2640,40193,Segovia,PSOE
175,Segovia,51258,40194,Segovia,PSCL
176,Sepúlveda,9870,40195,Segovia,PSOE
177,Sequera de Fresno,320,40196,Segovia,PSOE
178,Sotillo,290,40198,Segovia,PP
179,Sotosalbos,1370,40199,Segovia,PP
180,Tabanera la Luenga,470,40200,Segovia,PP
181,Tolocirio,450,40201,Segovia,PP
182,Torre Val de San Pedro,1970,40206,Segovia,PP
183,Torreadrada,500,40202,Segovia,PP
184,Torrecaballeros,1389,40203,Segovia,PSOE
185,Torrecilla del Pinar,1740,40204,Segovia,PP
186,Torreiglesias,2610,40205,Segovia,PP
187,Trescasas,1072,40207,Segovia,PSOE
188,Turégano,9980,40208,Segovia,PP
189,Urueñas,1040,40210,Segovia,PP
190,Valdeprados,700,40211,Segovia,PP
191,Valdevacas de Montejo,280,40212,Segovia,PP
192,Valdevacas y Guijar,960,40213,Segovia,PP
193,Valle de Tabladillo,790,40218,Segovia,PP
194,Vallelado,7180,40219,Segovia,PP
195,Valleruela de Pedraza,730,40220,Segovia,PP
196,Valleruela de Sepúlveda,530,40221,Segovia,PP
197,Valseca,2300,40214,Segovia,PP
198,Valtiendas,790,40215,Segovia,PP
199,Valverde del Majano,1112,40216,Segovia,PP
200,Veganzones,2160,40222,Segovia,PP
201,Vegas de Matute,3130,40223,Segovia,PSOE
202,Ventosilla y Tejadilla,170,40224,Segovia,PP
203,Villacastín,1491,40225,Segovia,PP
204,Villaverde de Íscar,5600,40228,Segovia,PP
205,Villaverde de Montejo,310,40229,Segovia,PSOE
206,Villeguillo,1030,40230,Segovia,PP
207,Yanguas de Eresma,1260,40231,Segovia,PP
208,Zarzuela del Monte,5120,40233,Segovia,PP
209,Zarzuela del Pinar,4210,40234,Segovia,PP
1,Abejar,2730,42001,Soria,PSOE
2,Adradas,550,42003,Soria,PPSO
3,Ágreda,3006,42004,Soria,PSOE
4,Alconaba,1960,42006,Soria,PSOE
5,Alcubilla de Avellaneda,1160,42007,Soria,PP
6,Alcubilla de las Peñas,510,42008,Soria,PP
7,Aldealafuente,860,42009,Soria,PSOE
8,Aldealices,290,42010,Soria,PP
9,Aldealpozo,170,42011,Soria,PP
10,Aldealseñor,320,42012,Soria,Agrupación de Vecinos de Aldealseñor - AVA
11,Aldehuela de Periáñez,330,42013,Soria,Agrupación de Electores de Aldehuela de Periáñez
12,Las Aldehuelas,560,42014,Soria,Indep.
13,Alentisque,260,42015,Soria,PP
14,Aliud,220,42016,Soria,PP
15,Almajano,1880,42017,Soria,PSOE
16,Almaluez,1240,42018,Soria,PPSO
17,Almarza,6400,42019,Soria,PP
18,Almazán,5411,42020,Soria,No adscrito 
19,Almazul,650,42021,Soria,PP
20,Almenar de Soria,2330,42022,Soria,PP
21,Alpanseque,540,42023,Soria,PP
22,Arancón,840,42024,Soria,PP
23,Arcos de Jalón,1477,42025,Soria,PP
24,Arenillas,470,42026,Soria,PSOE
25,Arévalo de la Sierra,730,42027,Soria,PP
26,Ausejo de la Sierra,910,42028,Soria,PP
27,Baraona,1270,42029,Soria,PP
28,Barca,1080,42030,Soria,Cs
29,Barcones,210,42031,Soria,PSOE
30,Bayubas de Abajo,1350,42032,Soria,PP
31,Bayubas de Arriba,610,42033,Soria,PP
32,Beratón,380,42034,Soria,PSOE
33,Berlanga de Duero,8720,42035,Soria,PSOE
34,Blacos,410,42036,Soria,Cs
35,Bliecos,290,42037,Soria,PSOE
36,Borjabad,330,42038,Soria,PPSO
37,Borobia,2420,42039,Soria,PSOE
38,Buberos,290,42041,Soria,PSOE
39,Buitrago,720,42042,Soria,PP
40,Burgo de Osma-Ciudad de Osma,5034,42043,Soria,PPSo
41,Cabrejas del Campo,480,42044,Soria,PP
42,Cabrejas del Pinar,3460,42045,Soria,PP
43,Calatañazor,490,42046,Soria,PSOE
44,Caltojar,570,42048,Soria,PP
45,Candilichera,1000,42049,Soria,PP
46,Cañamaque,320,42050,Soria,PP
47,Carabantes,150,42051,Soria,PP
48,Caracena,140,42052,Soria,PP
49,Carrascosa de Abajo,180,42053,Soria,Comisión gestora
50,Carrascosa de la Sierra,170,42054,Soria,Indep.
51,Casarejos,1560,42055,Soria,PP
52,Castilfrío de la Sierra,350,42056,Soria,PP
53,Castillejo de Robledo,1040,42058,Soria,PP
54,Castilruiz,1530,42057,Soria,PP
55,Centenera de Andaluz,210,42059,Soria,PP
56,Cerbón,300,42060,Soria,PP
57,Cidones,3020,42061,Soria,PP
58,Cigudosa,200,42062,Soria,PP
59,Cihuela,470,42063,Soria,PP
60,Ciria,760,42064,Soria,Partido Socialista Obrero Español
61,Cirujales del Río,200,42065,Soria,PP
62,Coscurita,720,42068,Soria,PP
63,Covaleda,1621,42069,Soria,PSOE
64,Cubilla,270,42070,Soria,PSOE
65,Cubo de la Solana,1790,42071,Soria,PP
66,Cueva de Ágreda,670,42073,Soria,PP
67,Dévanos,790,42075,Soria,PP
68,Deza,2110,42076,Soria,PSOE
69,Duruelo de la Sierra,1066,42078,Soria,PSOE
70,Escobosa de Almazán,200,42079,Soria,PP
71,Espeja de San Marcelino,1580,42080,Soria,PP
72,Espejón,1470,42081,Soria,PSOE
73,Estepa de San Juan,90,42082,Soria,PP
74,Frechilla de Almazán,200,42083,Soria,PP
75,Fresno de Caracena,200,42084,Soria,PP
76,Fuentearmegil,1600,42085,Soria,PP
77,Fuentecambrón,320,42086,Soria,PSOE
78,Fuentecantos,660,42087,Soria,Podemos
79,Fuentelmonge,640,42088,Soria,PP
80,Fuentelsaz de Soria,630,42089,Soria,PSOE
81,Fuentepinilla,820,42090,Soria,PP
82,Fuentes de Magaña,540,42092,Soria,PP
83,Fuentestrún,420,42093,Soria,PP
84,Garray,7500,42094,Soria,PP
85,Golmayo,2844,42095,Soria,PP
86,Gómara,2940,42096,Soria,PSOE
87,Gormaz,210,42097,Soria,PSOE
88,Herrera de Soria,90,42098,Soria,PP
89,Hinojosa del Campo,280,42100,Soria,PP
90,Langa de Duero,6940,42103,Soria,Cs
91,Liceras,470,42105,Soria,PP
92,La Losilla,120,42106,Soria,PSOE
93,Magaña,680,42107,Soria,PP
94,Maján,90,42108,Soria,PP
95,Matalebreras,640,42110,Soria,PP
96,Matamala de Almazán,2660,42111,Soria,PSOE
97,Medinaceli,6640,42113,Soria,PP
98,Miño de Medinaceli,830,42115,Soria,PP
99,Miño de San Esteban,430,42116,Soria,PSOE
100,Molinos de Duero,1580,42117,Soria,PP
101,Momblona,170,42118,Soria,PP
102,Monteagudo de las Vicarías,1790,42119,Soria,PP
103,Montejo de Tiermes,1480,42120,Soria,PP
104,Montenegro de Cameros,510,42121,Soria,PSOE
105,Morón de Almazán,1910,42123,Soria,PP
106,Muriel de la Fuente,540,42124,Soria,PP
107,Muriel Viejo,820,42125,Soria,Cs
108,Nafría de Ucero,330,42127,Soria,PP
109,Narros,480,42128,Soria,PSOE
110,Navaleno,7550,42129,Soria,PSOE
111,Nepas,510,42130,Soria,PP
112,Nolay,580,42131,Soria,Comisión gestora
113,Noviercas,1600,42132,Soria,PP
114,Ólvega,3668,42134,Soria,PP
115,Oncala,670,42135,Soria,Indep.
116,Pinilla del Campo,200,42139,Soria,Indep.
117,Portillo de Soria,140,42140,Soria,PP
118,La Póveda de Soria,1120,42141,Soria,PP
119,Pozalmuro,530,42142,Soria,PSOE
120,Quintana Redonda,4960,42144,Soria,PP
121,Quintanas de Gormaz,1410,42145,Soria,PPSO
122,Quiñonería,80,42148,Soria,PP
123,Los Rábanos,4650,42149,Soria,PP
124,Rebollar,410,42151,Soria,PP
125,Recuerda,710,42152,Soria,PSOE
126,Rello,150,42153,Soria,PSOE
127,Renieblas,1110,42154,Soria,PSOE
128,Retortillo de Soria,1600,42155,Soria,PP
129,Reznos,310,42156,Soria,PSOE
130,La Riba de Escalote,110,42157,Soria,PP
131,Rioseco de Soria,1250,42158,Soria,PSOE
132,Rollamienta,410,42159,Soria,PSOE
133,El Royo,2600,42160,Soria,Indep.
134,Salduero,1470,42161,Soria,PP
135,San Esteban de Gormaz,2948,42162,Soria,PSOE
136,San Felices,590,42163,Soria,PSOE
137,San Leonardo de Yagüe,2042,42164,Soria,PSOE
138,San Pedro Manrique,6550,42165,Soria,PP
139,Santa Cruz de Yanguas,620,42166,Soria,PSOE
140,Santa María de Huerta,2650,42167,Soria,PSOE
141,Santa María de las Hoyas,870,42168,Soria,PSOE
142,Serón de Nágima,1300,42171,Soria,PP
143,Soliedra,310,42172,Soria,PP
144,Soria,39695,42173,Soria,PSOE
145,Sotillo del Rincón,1780,42174,Soria,PSOE
146,Suellacabras,250,42175,Soria,PP
147,Tajahuerce,240,42176,Soria,PP
148,Tajueco,600,42177,Soria,PP
149,Talveila,1070,42178,Soria,PP
150,Tardelcuende,4200,42181,Soria,PSOE
151,Taroda,460,42182,Soria,PP
152,Tejado,920,42183,Soria,PP
153,Torlengua,510,42184,Soria,PP
154,Torreblacos,260,42185,Soria,PP
155,Torrubia de Soria,610,42187,Soria,PP
156,Trévago,430,42188,Soria,Indep.
157,Ucero,630,42189,Soria,PSOE
158,Vadillo,860,42190,Soria,PSOE
159,Valdeavellano de Tera,2040,42191,Soria,PSOE
160,Valdegeña,380,42192,Soria,PP
161,Valdelagua del Cerro,120,42193,Soria,PP
162,Valdemaluque,1480,42194,Soria,PP
163,Valdenebro,960,42195,Soria,PP
164,Valdeprado,60,42196,Soria,PP
165,Valderrodilla,670,42197,Soria,PP
166,Valtajeros,220,42198,Soria,PP
167,Velamazán,720,42200,Soria,Cs
168,Velilla de la Sierra,280,42201,Soria,PP
169,Velilla de los Ajos,190,42202,Soria,PP
170,Viana de Duero,540,42204,Soria,PP
171,Villaciervos,720,42205,Soria,PP
172,Villanueva de Gormaz,80,42206,Soria,PP
173,Villar del Ala,500,42207,Soria,Cs
174,Villar del Campo,260,42208,Soria,PP
175,Villar del Río,1540,42209,Soria,PSOE
176,Los Villares de Soria,810,42211,Soria,PSOE
177,Villasayas,660,42212,Soria,PSOE
178,Villaseca de Arciel,240,42213,Soria,PP
179,Vinuesa,8370,42215,Soria,PP
180,Vizmanos,260,42216,Soria,PSOE
181,Vozmediano,370,42217,Soria,PSOE
182,Yanguas,1130,42218,Soria,Independiente
183,Yelo,470,42219,Soria,PP
1,Adalia,520,47001,Valladolid,PP
2,Aguasal,170,47002,Valladolid,PP
3,Aguilar de Campos,2570,47003,Valladolid,PP
4,Alaejos,138,47004,Valladolid,PSOE
5,Alcazarén,6320,47005,Valladolid,URCL
6,Aldea de San Miguel,2170,47006,Valladolid,PSOE
7,Aldeamayor de San Martín,5789,47007,Valladolid,PSOE
8,Almenara de Adaja,230,47008,Valladolid,PP
9,Amusquillo,1000,47009,Valladolid,Cs
10,Arroyo de la Encomienda,20716,47010,Valladolid,IPAE
11,Ataquines,5640,47011,Valladolid,T.P.A.
12,Bahabón,980,47012,Valladolid,PP
13,Barcial de la Loma,860,47013,Valladolid,PSOE
14,Barruelo del Valle,470,47014,Valladolid,Vox
15,Becilla de Valderaduey,2180,47015,Valladolid,PSOE
16,Benafarces,680,47016,Valladolid,PP
17,Bercero,1950,47017,Valladolid,PP
18,Berceruelo,380,47018,Valladolid,PP
19,Berrueces,1020,47019,Valladolid,PP
20,Bobadilla del Campo,2920,47020,Valladolid,PSOE
21,Bocigas,800,47021,Valladolid,PP
22,Bocos de Duero,690,47022,Valladolid,PP
23,Boecillo,4219,47023,Valladolid,PP
24,Bolaños de Campos,2770,47024,Valladolid,PSOE
25,Brahojos de Medina,1060,47025,Valladolid,PP
26,Bustillo de Chaves,630,47026,Valladolid,Cs
27,Cabezón de Pisuerga,3747,47027,Valladolid,PSOE
28,Cabezón de Valderaduey,410,47028,Valladolid,PP
29,Cabreros del Monte,630,47029,Valladolid,PP
30,Campaspero,1047,47030,Valladolid,PP
31,El Campillo,2190,47031,Valladolid,PP
32,Camporredondo,1530,47032,Valladolid,PP
33,Canalejas de Peñafiel,2410,47033,Valladolid,PP
34,Canillas de Esgueva,780,47034,Valladolid,PP
35,Carpio,9650,47035,Valladolid,PP
36,Casasola de Arión,2350,47036,Valladolid,PP
37,Castrejón de Trabancos,1700,47037,Valladolid,PP
38,Castrillo de Duero,1030,47038,Valladolid,PP
39,Castrillo-Tejeriego,1620,47039,Valladolid,PP
40,Castrobol,540,47040,Valladolid,PP
41,Castrodeza,1510,47041,Valladolid,PP
42,Castromembibre,530,47042,Valladolid,PIC
43,Castromonte,3140,47043,Valladolid,PP
44,Castronuevo de Esgueva,3790,47044,Valladolid,PP
45,Castronuño,8250,47045,Valladolid,IU
46,Castroponce,1480,47046,Valladolid,PP
47,Castroverde de Cerrato,1960,47047,Valladolid,PP
48,Ceinos de Campos,2090,47048,Valladolid,PP
49,Cervillego de la Cruz,830,47049,Valladolid,PSOE
50,Cigales,5299,47050,Valladolid,PSOE
51,Ciguñuela,3750,47051,Valladolid,PP
52,Cistérniga,9109,47052,Valladolid,PSOE
53,Cogeces de Íscar,1420,47053,Valladolid,PP
54,Cogeces del Monte,6370,47054,Valladolid,PP
55,Corcos,2030,47055,Valladolid,PP
56,Corrales de Duero,1090,47056,Valladolid,PP
57,Cubillas de Santa Marta,3520,47057,Valladolid,PP
58,Cuenca de Campos,2080,47058,Valladolid,PP
59,Curiel de Duero,1180,47059,Valladolid,PP
60,Encinas de Esgueva,2210,47060,Valladolid,PP
61,Esguevillas de Esgueva,2690,47061,Valladolid,Cs
62,Fombellida,1660,47062,Valladolid,PP
63,Fompedraza,1030,47063,Valladolid,PP
64,Fontihoyuelo,360,47064,Valladolid,PP
65,Fresno el Viejo,8480,47065,Valladolid,PP
66,Fuensaldaña,1996,47066,Valladolid,PSOE
67,Fuente el Sol,1480,47067,Valladolid,PP
68,Fuente-Olmedo,340,47068,Valladolid,PSOE
69,Gallegos de Hornija,1110,47069,Valladolid,PSOE
70,Gatón de Campos,270,47070,Valladolid,PP
71,Geria,5120,47071,Valladolid,PSOE
72,Herrín de Campos,1190,47073,Valladolid,PP
73,Hornillos de Eresma,1740,47074,Valladolid,PSOE
74,Íscar,6298,47075,Valladolid,PP
75,Laguna de Duero,22633,47076,Valladolid,Independiente
76,Langayo,2420,47077,Valladolid,PP
77,Llano de Olmedo,590,47079,Valladolid,PP
78,Lomoviejo,1780,47078,Valladolid,PP
79,Manzanillo,490,47080,Valladolid,Cs
80,Marzales,430,47081,Valladolid,PSOE
81,Matapozuelos,1039,47082,Valladolid,PP
82,Matilla de los Caños,940,47083,Valladolid,PSOE
83,Mayorga,1471,47084,Valladolid,PP
84,Medina de Rioseco,455,47086,Valladolid,PP
85,Medina del Campo,20271,47085,Valladolid,PP
86,Megeces,4330,47087,Valladolid,PP
87,Melgar de Abajo,1200,47088,Valladolid,JPM
88,Melgar de Arriba,1530,47089,Valladolid,PP
89,Mojados,3311,47090,Valladolid,PSOE
90,Monasterio de Vega,790,47091,Valladolid,PP
91,Montealegre de Campos,1030,47092,Valladolid,PP
92,Montemayor de Pililla,8520,47093,Valladolid,PP
93,Moral de la Reina,1500,47094,Valladolid,PP
94,Moraleja de las Panaderas,470,47095,Valladolid,PP
95,Morales de Campos,1410,47096,Valladolid,PP
96,Mota del Marqués,3490,47097,Valladolid,PSOE
97,Mucientes,6420,47098,Valladolid,PSOE
98,La Mudarra,1560,47099,Valladolid,PP
99,Muriel,1170,47100,Valladolid,PSOE
100,Nava del Rey,1968,47101,Valladolid,PP
101,Nueva Villa de las Torres,2760,47102,Valladolid,PP
102,Olivares de Duero,3130,47103,Valladolid,PP
103,Olmedo,3574,47104,Valladolid,PP
104,Olmos de Esgueva,1850,47105,Valladolid,PSOE
105,Olmos de Peñafiel,530,47106,Valladolid,PP
106,Palazuelo de Vedija,1740,47109,Valladolid,PP
107,La Parrilla,4820,47110,Valladolid,PSOE
108,La Pedraja de Portillo,1122,47111,Valladolid,PP
109,Pedrajas de San Esteban,3334,47112,Valladolid,PP
110,Pedrosa del Rey,1550,47113,Valladolid,PP
111,Peñafiel,5068,47114,Valladolid,PP
112,Peñaflor de Hornija,3300,47115,Valladolid,PP
113,Pesquera de Duero,4340,47116,Valladolid,PP
114,Piña de Esgueva,3180,47117,Valladolid,PP
115,Piñel de Abajo,1720,47118,Valladolid,PP
116,Piñel de Arriba,920,47119,Valladolid,PP
117,Pollos,6110,47121,Valladolid,PSOE
118,Portillo,2383,47122,Valladolid,PSOE
119,Pozal de Gallinas,5370,47123,Valladolid,PP
120,Pozaldez,4730,47124,Valladolid,PP
121,Pozuelo de la Orden,450,47125,Valladolid,PP
122,Puras,420,47126,Valladolid,PP
123,Quintanilla de Arriba,1600,47127,Valladolid,AQUI
124,Quintanilla de Onésimo,1031,47129,Valladolid,PSOE
125,Quintanilla de Trigueros,1050,47130,Valladolid,PP
126,Quintanilla del Molar,570,47128,Valladolid,PP
127,Rábano,1690,47131,Valladolid,PSOE
128,Ramiro,490,47132,Valladolid,PP
129,Renedo de Esgueva,3875,47133,Valladolid,PP
130,Roales de Campos,1600,47134,Valladolid,PP
131,Robladillo,890,47135,Valladolid,PSOE
132,Roturas,290,47137,Valladolid,PP
133,Rubí de Bracamonte,2150,47138,Valladolid,PP
134,Rueda,1204,47139,Valladolid,PSOE
135,Saelices de Mayorga,1130,47140,Valladolid,PP
136,Salvador de Zapardiel,1100,47141,Valladolid,PP
137,San Cebrián de Mazote,1220,47142,Valladolid,PP
138,San Llorente,1100,47143,Valladolid,PP
139,San Martín de Valvení,800,47144,Valladolid,PP
140,San Miguel del Arroyo,6580,47145,Valladolid,PP
141,San Miguel del Pino,3500,47146,Valladolid,PSOE
142,San Pablo de la Moraleja,1080,47147,Valladolid,PP
143,San Pedro de Latarce,4610,47148,Valladolid,PP
144,San Pelayo,480,47149,Valladolid,Toma la Palabra
145,San Román de Hornija,3030,47150,Valladolid,PP
146,San Salvador,240,47151,Valladolid,PP
147,San Vicente del Palacio,1600,47156,Valladolid,Cs
148,Santa Eufemia del Arroyo,710,47152,Valladolid,PSOE
149,Santervás de Campos,1100,47153,Valladolid,PP
150,Santibáñez de Valcorba,1810,47154,Valladolid,PP
151,Santovenia de Pisuerga,4604,47155,Valladolid,Cs
152,Sardón de Duero,6020,47157,Valladolid,PSOE
153,La Seca,1066,47158,Valladolid,PSOE
154,Serrada,1111,47159,Valladolid,PP
155,Siete Iglesias de Trabancos,4270,47160,Valladolid,PP
156,Simancas,5315,47161,Valladolid,PP
157,Tamariz de Campos,680,47162,Valladolid,PP
158,Tiedra,2850,47163,Valladolid,IU Toma la Palabra
159,Tordehumos,4060,47164,Valladolid,PP
160,Tordesillas,8762,47165,Valladolid,PP
161,Torre de Esgueva,660,47169,Valladolid,PP
162,Torre de Peñafiel,450,47170,Valladolid,PP
163,Torrecilla de la Abadesa,2700,47166,Valladolid,PP
164,Torrecilla de la Orden,2400,47167,Valladolid,PP
165,Torrecilla de la Torre,360,47168,Valladolid,PP
166,Torrelobatón,3900,47171,Valladolid,PP
167,Torrescárcela,1680,47172,Valladolid,PP
168,Traspinedo,1149,47173,Valladolid,VPT
169,Trigueros del Valle,3090,47174,Valladolid,PSOE
170,Tudela de Duero,8648,47175,Valladolid,PSOE
171,La Unión de Campos,2160,47176,Valladolid,PP
