,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,coord,Weather_info,CP,pob_tot_muni,partido_gov_x,pob_tot_muni,partido_gov_y
10,Castilla y León,Ávila,"Aldehuela, La",5010000500,SOLANAS DEL CARRASCAL,0.0,0.0,0.97,0.99,,Not found,5010,1470,PP,1470,PP
11,Castilla y León,Ávila,"Aldehuela, La",5010000600,SOLANILLAS (LAS),0.0,0.0,0.94,0.97,,"En Solanillos del Extremo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5010,1470,PP,1470,PP
12,Castilla y León,Ávila,Amavida,5012000100,AMAVIDA,0.0,0.0,1.0,1.0,"(40.573333333333, 5.0666666666667)","En Carlota Amalia, los veranos son largos, cálidos, opresivos y mayormente nublados; los inviernos son calurosos, bochornosos, secos y mayormente despejados y está ventoso durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 32 °C y rara vez baja a menos de 22 °C o sube a más de 34 °C.",5012,1280,PSOE,1280,PSOE
13,Castilla y León,Ávila,Amavida,5012000200,PASCUAL MUÑOZ,0.0,0.0,1.0,1.0,"(40.575499, 5.05358883)",Not found,5012,1280,PSOE,1280,PSOE
14,Castilla y León,Ávila,"Arenal, El",5013000100,ARENAL (EL),0.99,0.0,1.0,1.0,"(40.264722222222, 5.0872222222222)","En El Arenal, los veranos son cortos, cálidos, bochornosos, secos y mayormente despejados y los inviernos son largos, fríos, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 5 °C a 31 °C y rara vez baja a menos de 1 °C o sube a más de 34 °C.",5013,9430,AVEAL,9430,AVEAL
15,Castilla y León,Ávila,Arenas de San Pedro,5014000100,ARENAS DE SAN PEDRO,1.0,1.0,1.0,1.0,"(40.208888888889, 5.0911111111111)","En Arenas de San Pedro, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 33 °C y rara vez baja a menos de -4 °C o sube a más de 37 °C.",5014,6434,PP,6434,PP
16,Castilla y León,Ávila,Arenas de San Pedro,5014000200,HONTANARES,0.0,0.0,1.0,1.0,"(40.142777777778, 4.9822222222222)","En Hontanares de Eresma, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5014,6434,PP,6434,PP
17,Castilla y León,Ávila,Arenas de San Pedro,5014000300,PARRA (LA),0.96,0.0,0.99,0.99,"(40.223333333333, 5.0572222222222)","En Parras de la Fuente, los veranos son largos y cálidos; los inviernos son cortos, frescos y secos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 32 °C y rara vez baja a menos de 1 °C o sube a más de 35 °C.",5014,6434,PP,6434,PP
18,Castilla y León,Ávila,Arenas de San Pedro,5014000400,RAMACASTAÑAS,1.0,0.0,1.0,1.0,"(40.185277777778, 5.0466666666667)",Not found,5014,6434,PP,6434,PP
19,Castilla y León,Ávila,Arevalillo,5015000100,AREVALILLO,0.0,0.0,1.0,0.15,"(40.587222222222, 5.3744444444444)","En Arevalillo de Cega, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",5015,670,PSOE,670,PSOE
20,Castilla y León,Ávila,Arévalo,5016000100,ARÉVALO,1.0,1.0,1.0,1.0,"(41.066666666667, 4.7166666666667)","En Arévalo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",5016,7881,ARÉVALO DECIDE,7881,ARÉVALO DECIDE
21,Castilla y León,Ávila,Aveinte,5017000100,AVEINTE,1.0,0.0,1.0,1.0,"(40.782222222222, 4.8375)","En Aveinte, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",5017,820,PP,820,PP
22,Castilla y León,Ávila,Avellaneda,5018000100,AVELLANEDA,0.0,0.0,1.0,1.0,"(40.388611111111, 5.3880555555556)","En Avellaneda, los veranos son cortos, cálidos, bochornosos y mojados; los inviernos son frescos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 10 °C a 32 °C y rara vez baja a menos de 3 °C o sube a más de 37 °C.",5018,260,PP,260,PP
23,Castilla y León,Ávila,Ávila,5019000100,ALAMEDILLA DEL BERROCAL,0.0,0.0,1.0,1.0,"(40.7067, 4.76513)",Not found,5019,57949,XAV,57949,XAV
24,Castilla y León,Ávila,Ávila,5019000200,ALDEA DEL REY NIÑO,1.0,1.0,1.0,1.0,"(40.58598333, 4.74273056)",Not found,5019,57949,XAV,57949,XAV
25,Castilla y León,Ávila,Ávila,5019000300,ÁVILA,0.94,0.94,1.0,1.0,"(40.654347222222, 4.6962222222222)","En Ávila, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",5019,57949,XAV,57949,XAV
26,Castilla y León,Ávila,Ávila,5019000400,BERNUY-SALINERO,0.0,0.0,1.0,1.0,,Not found,5019,57949,XAV,57949,XAV
27,Castilla y León,Ávila,Ávila,5019000700,NARRILLOS DE SAN LEONARDO,1.0,0.0,1.0,1.0,"(40.695477, 4.724786)",Not found,5019,57949,XAV,57949,XAV
28,Castilla y León,Ávila,Ávila,5019000800,URRACA-MIGUEL,0.0,0.0,1.0,0.48,,Not found,5019,57949,XAV,57949,XAV
29,Castilla y León,Ávila,Ávila,5019001000,BRIEVA-VICOLOZANO,1.0,1.0,1.0,1.0,,Not found,5019,57949,XAV,57949,XAV
30,Castilla y León,Ávila,"Barco de Ávila, El",5021000100,BARCO DE ÁVILA (EL),1.0,0.19,1.0,1.0,"(40.359722222222, 5.5236111111111)","En El Barco de Ávila, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",5021,2298,PSOE,2298,PSOE
31,Castilla y León,Ávila,"Barraco, El",5022000100,BARRACO (EL),0.98,0.51,1.0,0.99,"(40.475277777778, 4.6419444444444)","En El Barco de Ávila, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",5022,1973,PP,1973,PP
32,Castilla y León,Ávila,"Barraco, El",5022000200,CRUCERAS (LAS),0.0,0.0,1.0,1.0,,"En Las Cruces, los veranos son cálidos y parcialmente nublados; los inviernos son cortos, fríos y mayormente despejados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 36 °C y rara vez baja a menos de -5 °C o sube a más de 40 °C.",5022,1973,PP,1973,PP
33,Castilla y León,Ávila,"Barraco, El",5022000300,RINCONADA (LA),0.0,0.0,1.0,1.0,,"En La Rinconada, los veranos son cortos, cálidos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 36 °C y rara vez baja a menos de 1 °C o sube a más de 41 °C.",5022,1973,PP,1973,PP
34,Castilla y León,Ávila,Barromán,5023000100,BARROMÁN,0.9,0.0,1.0,0.67,"(41.065, 4.9313888888889)","En Barromán, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 35 °C.",5023,1810,PP,1810,PP
35,Castilla y León,Ávila,Becedas,5024000100,BECEDAS,0.68,0.0,1.0,0.99,"(40.405, 5.6347222222222)","En Becedas, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 33 °C.",5024,1830,PP,1830,PP
36,Castilla y León,Ávila,Becedas,5024000200,PALACIOS DE BECEDAS,1.0,0.0,1.0,1.0,,Not found,5024,1830,PP,1830,PP
37,Castilla y León,Ávila,Becedillas,5025000100,BECEDILLAS,0.0,0.0,1.0,0.95,"(40.537222222222, 5.325)","En Becedillas, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",5025,770,PP,770,PP
38,Castilla y León,Ávila,Becedillas,5025000200,CASILLAS DE CHICAPIERNA,0.0,0.0,1.0,1.0,"(40.548238888889, 5.3356638888889)",Not found,5025,770,PP,770,PP
39,Castilla y León,Ávila,Bercial de Zapardiel,5026000100,BERCIAL DE ZAPARDIEL,0.99,0.0,1.0,1.0,"(41.046388888889, 4.9691666666667)","En Bercial de Zapardiel, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 35 °C.",5026,1950,PP,1950,PP
40,Castilla y León,Ávila,"Berlanas, Las",5027000100,BERLANAS (LAS),0.8,0.0,1.0,1.0,"(40.803055555556, 4.7605555555556)",Not found,5027,3340,PP,3340,PP
41,Castilla y León,Ávila,Bernuy-Zapardiel,5029000100,BERNUY-ZAPARDIEL,0.0,0.0,1.0,0.99,"(40.976111111111, 4.9438888888889)",Not found,5029,900,PP,900,PP
42,Castilla y León,Ávila,Berrocalejo de Aragona,5030000100,BERROCALEJO DE ARAGONA,0.0,0.0,1.0,1.0,"(40.694166666667, 4.5969444444444)","En Berrocalejo de Aragona, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",5030,490,Agrupacion Independiente de Electores de Berrocalejo de Aragona,490,Agrupacion Independiente de Electores de Berrocalejo de Aragona
43,Castilla y León,Ávila,Blascomillán,5033000100,BERCIMUELLE,0.0,0.0,1.0,0.8,"(40.521666666667, 5.4983333333333)","En Bercimuel, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",5033,1810,PP,1810,PP
44,Castilla y León,Ávila,Blascomillán,5033000200,BLASCOMILLÁN,1.0,0.0,1.0,0.99,"(40.801388888889, 5.0886111111111)","En Blascomillán, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5033,1810,PP,1810,PP
45,Castilla y León,Ávila,Blascomillán,5033000300,CONVENTO DE DURUELO (EL),0.0,0.0,1.0,0.68,,Not found,5033,1810,PP,1810,PP
46,Castilla y León,Ávila,Blasconuño de Matacabras,5034000100,BLASCONUÑO DE MATACABRAS,0.92,0.0,1.0,1.0,"(41.123333333333, 4.9902777777778)",Not found,5034,140,PP,140,PP
47,Castilla y León,Ávila,Blascosancho,5035000100,BLASCOSANCHO,0.03,0.0,1.0,1.0,"(40.877777777778, 4.6358333333333)","En Blascosancho, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5035,1010,PP,1010,PP
48,Castilla y León,Ávila,"Bohodón, El",5036000100,BOHODÓN (EL),1.0,0.0,1.0,1.0,"(40.916061111111, 4.7286388888889)",Not found,5036,1170,PP,1170,PP
49,Castilla y León,Ávila,Bohoyo,5037000100,BOHOYO,1.0,0.0,1.0,1.0,"(40.315, 5.4411111111111)","En Bohoyo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 28 °C y rara vez baja a menos de -8 °C o sube a más de 32 °C.",5037,2310,PP,2310,PP
50,Castilla y León,Ávila,Bohoyo,5037000200,GUIJUELOS (LOS),1.0,0.0,1.0,1.0,"(40.31517, 5.48231333)",Not found,5037,2310,PP,2310,PP
51,Castilla y León,Ávila,Bohoyo,5037000300,NAVAMEDIANA,1.0,0.0,1.0,1.0,"(40.317095, 5.413998)",Not found,5037,2310,PP,2310,PP
52,Castilla y León,Ávila,Bohoyo,5037000400,NAVAMOJADA,1.0,0.0,1.0,1.0,"(40.32213883, 5.461284)",Not found,5037,2310,PP,2310,PP
53,Castilla y León,Ávila,Bonilla de la Sierra,5038000100,BONILLA DE LA SIERRA,0.92,0.0,1.0,1.0,"(40.528888888889, 5.2641666666667)","En Bonilla de la Sierra, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",5038,1310,PSOE,1310,PSOE
54,Castilla y León,Ávila,Bonilla de la Sierra,5038000200,CABEZAS DE BONILLA,0.0,0.0,1.0,1.0,,Not found,5038,1310,PSOE,1310,PSOE
55,Castilla y León,Ávila,Bonilla de la Sierra,5038000300,PAJAREJOS,0.75,0.0,1.0,1.0,"(41.390277777778, 3.5902777777778)","En Pajarejos, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",5038,1310,PSOE,1310,PSOE
56,Castilla y León,Ávila,Bonilla de la Sierra,5038000400,RIVERA DE CORNEJA,0.75,0.0,1.0,1.0,,Not found,5038,1310,PSOE,1310,PSOE
57,Castilla y León,Ávila,Brabos,5039000100,BRABOS,0.0,0.0,1.0,1.0,"(40.778333333333, 4.9377777777778)","En Braşov, los veranos son cómodos, los inviernos son helados y nevados y está parcialmente nublado todo el año. Durante el transcurso del año, la temperatura generalmente varía de -7 °C a 24 °C y rara vez baja a menos de -15 °C o sube a más de 29 °C.",5039,420,PSOE,420,PSOE
58,Castilla y León,Ávila,Brabos,5039000200,HORCAJUELO,0.0,0.0,0.99,1.0,"(41.06, 3.5452777777778)","En Horcajuelo de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",5039,420,PSOE,420,PSOE
59,Castilla y León,Ávila,Bularros,5040000100,BULARROS,0.0,0.0,1.0,0.98,"(40.725996614523, 4.8665740781143)","En Buarcos, los veranos son cómodos, secos y mayormente despejados y los inviernos son fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 24 °C y rara vez baja a menos de 2 °C o sube a más de 30 °C.",5040,630,PP,630,PP
60,Castilla y León,Ávila,Bularros,5040000200,MUÑOYERRO,0.0,0.0,1.0,1.0,"(40.756155555556, 4.836475)","En Muñopedro, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",5040,630,PP,630,PP
61,Castilla y León,Ávila,Bularros,5040000300,VILLAVERDE,0.0,0.0,1.0,1.0,"(40.725102777778, 4.8502972222222)","En Villaverde del Río, los veranos son cortos, tórridos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 37 °C y rara vez baja a menos de 1 °C o sube a más de 41 °C.",5040,630,PP,630,PP
62,Castilla y León,Ávila,Burgohondo,5041000100,BURGOHONDO,0.98,0.0,1.0,1.0,"(40.413611111111, 4.7863888888889)","En Burgohondo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5041,1231,PP,1231,PP
63,Castilla y León,Ávila,Burgohondo,5041000200,PUENTE NUEVA,0.76,0.0,1.0,1.0,,"En Puerto Moresby, la temporada de lluvia es muy caliente y nublada; la temporada seca es caliente, ventosa y mayormente nublada y es opresivo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 31 °C y rara vez baja a menos de 21 °C o sube a más de 33 °C.",5041,1231,PP,1231,PP
64,Castilla y León,Ávila,Cabezas de Alambre,5042000100,CABEZAS DE ALAMBRE,1.0,0.0,1.0,1.0,"(40.940277777778, 4.8425)","En Cabezas de Alambre, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5042,1600,PP,1600,PP
65,Castilla y León,Ávila,Cabezas del Pozo,5043000100,CABEZAS DEL POZO,1.0,0.0,0.87,0.78,"(41.000627777778, 4.9521)","En Cabezas del Pozo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5043,680,PSOE,680,PSOE
66,Castilla y León,Ávila,Cabezas del Villar,5044000100,CABEZAS DEL VILLAR,0.77,0.0,1.0,0.17,"(40.715277777778, 5.2083333333333)","En Cabezas del Villar, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",5044,2570,PP,2570,PP
67,Castilla y León,Ávila,Cabezas del Villar,5044000200,RIVILLAS DE LA CAÑADA,0.0,0.0,0.94,0.25,,Not found,5044,2570,PP,2570,PP
68,Castilla y León,Ávila,Cabizuela,5045000100,CABIZUELA,0.0,0.0,0.99,1.0,"(40.901111111111, 4.8002777777778)","En Cabezuela, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 33 °C.",5045,800,CIC,800,CIC
69,Castilla y León,Ávila,Canales,5046000100,CANALES,0.56,0.0,1.0,1.0,"(41.002797222222, 4.8997694444444)","En Villa Canales, la temporada de lluvia es nublada, la temporada seca es mayormente despejada y es caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 14 °C a 28 °C y rara vez baja a menos de 12 °C o sube a más de 30 °C.",5046,390,PP,390,PP
70,Castilla y León,Ávila,Candeleda,5047000100,CANDELEDA,0.97,0.85,1.0,1.0,"(40.1557248, 5.2409617)","En Candeleda, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 34 °C y rara vez baja a menos de -3 °C o sube a más de 38 °C.",5047,5049,PSOE,5049,PSOE
71,Castilla y León,Ávila,Candeleda,5047000200,RASO (EL),0.86,0.0,1.0,1.0,"(40.166666666667, 5.3333333333333)","En Râs el Oued, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 34 °C y rara vez baja a menos de -3 °C o sube a más de 38 °C.",5047,5049,PSOE,5049,PSOE
72,Castilla y León,Ávila,Cantiveros,5048000100,CANTIVEROS,0.92,0.0,1.0,1.0,"(40.952777777778, 4.9544444444444)","En Cantiveros, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",5048,1000,PP,1000,PP
73,Castilla y León,Ávila,Cardeñosa,5049000100,CARDEÑOSA,1.0,1.0,1.0,1.0,"(40.741666666667, 4.7452777777778)","En Cardeñosa, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",5049,4270,PSOE,4270,PSOE
74,Castilla y León,Ávila,"Carrera, La",5051000100,CARRERA (LA),1.0,0.0,1.0,1.0,"(40.347777777778, 5.5547222222222)","En La Cabrera, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",5051,1640,PP,1640,PP
75,Castilla y León,Ávila,"Carrera, La",5051000200,CERECEDA,1.0,0.0,1.0,1.0,,"En Cerceda, los veranos son cómodos y mayormente despejados y los inviernos son largos, fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 4 °C a 22 °C y rara vez baja a menos de -0 °C o sube a más de 27 °C.",5051,1640,PP,1640,PP
76,Castilla y León,Ávila,"Carrera, La",5051000300,LANCHAREJO,1.0,0.0,1.0,1.0,,Not found,5051,1640,PP,1640,PP
77,Castilla y León,Ávila,"Carrera, La",5051000400,NAVALMORO,0.85,0.0,1.0,1.0,,"En Navalmoral de la Mata, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 35 °C y rara vez baja a menos de -3 °C o sube a más de 39 °C.",5051,1640,PP,1640,PP
78,Castilla y León,Ávila,Casas del Puerto,5052000100,CASAS DEL PUERTO,1.0,0.0,1.0,1.0,"(40.52755835, 5.19411027707)",Not found,5052,830,PP,830,PP
79,Castilla y León,Ávila,Casasola,5053000100,CASASOLA,0.0,0.0,1.0,1.0,"(40.668888888889, 4.8266666666667)","En Casasola de Arión, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",5053,680,PP,680,PP
