,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,coord,Weather_info,population
1735,Castilla y León,Ávila,"Barraco, El",5022000100,BARRACO (EL),0.98,0.51,1.0,0.99,"(40.475277777778, 4.6419444444444)","En El Barco de Ávila, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",1973 hab.(2021)
1736,Castilla y León,Ávila,"Barraco, El",5022000200,CRUCERAS (LAS),0.0,0.0,1.0,1.0,,"En Las Cruces, los veranos son cálidos y parcialmente nublados; los inviernos son cortos, fríos y mayormente despejados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 36 °C y rara vez baja a menos de -5 °C o sube a más de 40 °C.",
1737,Castilla y León,Ávila,"Barraco, El",5022000300,RINCONADA (LA),0.0,0.0,1.0,1.0,,"En La Rinconada, los veranos son cortos, cálidos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 36 °C y rara vez baja a menos de 1 °C o sube a más de 41 °C.",
1738,Castilla y León,Ávila,Barromán,5023000100,BARROMÁN,0.9,0.0,1.0,0.67,"(41.065, 4.9313888888889)","En Barromán, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 35 °C.",181 hab.(2021)
1739,Castilla y León,Ávila,Becedas,5024000100,BECEDAS,0.68,0.0,1.0,0.99,"(40.405, 5.6347222222222)","En Becedas, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 33 °C.",183 hab.(2021)
1740,Castilla y León,Ávila,Becedas,5024000200,PALACIOS DE BECEDAS,1.0,0.0,1.0,1.0,,Not found,
1741,Castilla y León,Ávila,Becedillas,5025000100,BECEDILLAS,0.0,0.0,1.0,0.95,"(40.537222222222, 5.325)","En Becedillas, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",77 hab.(2021)
1742,Castilla y León,Ávila,Becedillas,5025000200,CASILLAS DE CHICAPIERNA,0.0,0.0,1.0,1.0,"(40.548238888889, 5.3356638888889)",Not found,10 hab.(INE2017)
1743,Castilla y León,Ávila,Bercial de Zapardiel,5026000100,BERCIAL DE ZAPARDIEL,0.99,0.0,1.0,1.0,"(41.046388888889, 4.9691666666667)","En Bercial de Zapardiel, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 35 °C.",195 hab.(2021)
1744,Castilla y León,Ávila,"Berlanas, Las",5027000100,BERLANAS (LAS),0.8,0.0,1.0,1.0,"(40.803055555556, 4.7605555555556)",Not found,334 hab.(2021)
1745,Castilla y León,Ávila,Bernuy-Zapardiel,5029000100,BERNUY-ZAPARDIEL,0.0,0.0,1.0,0.99,"(40.976111111111, 4.9438888888889)",Not found,90 hab.(2021)
1746,Castilla y León,Ávila,Berrocalejo de Aragona,5030000100,BERROCALEJO DE ARAGONA,0.0,0.0,1.0,1.0,"(40.694166666667, 4.5969444444444)","En Berrocalejo de Aragona, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",49 hab.(2021)
1747,Castilla y León,Ávila,Blascomillán,5033000100,BERCIMUELLE,0.0,0.0,1.0,0.8,"(40.521666666667, 5.4983333333333)","En Bercimuel, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",53 hab.(INE2020)
1748,Castilla y León,Ávila,Blascomillán,5033000200,BLASCOMILLÁN,1.0,0.0,1.0,0.99,"(40.801388888889, 5.0886111111111)","En Blascomillán, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",181 hab.(2021)
1749,Castilla y León,Ávila,Blascomillán,5033000300,CONVENTO DE DURUELO (EL),0.0,0.0,1.0,0.68,,Not found,
1750,Castilla y León,Ávila,Blasconuño de Matacabras,5034000100,BLASCONUÑO DE MATACABRAS,0.92,0.0,1.0,1.0,"(41.123333333333, 4.9902777777778)",Not found,14 hab.(2021)
1751,Castilla y León,Ávila,Blascosancho,5035000100,BLASCOSANCHO,0.03,0.0,1.0,1.0,"(40.877777777778, 4.6358333333333)","En Blascosancho, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",101 hab.(2021)
1752,Castilla y León,Ávila,"Bohodón, El",5036000100,BOHODÓN (EL),1.0,0.0,1.0,1.0,"(40.916061111111, 4.7286388888889)",Not found,117 hab.(2021)
1753,Castilla y León,Ávila,Bohoyo,5037000100,BOHOYO,1.0,0.0,1.0,1.0,"(40.315, 5.4411111111111)","En Bohoyo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 28 °C y rara vez baja a menos de -8 °C o sube a más de 32 °C.",231 hab.(2021)
1754,Castilla y León,Ávila,Bohoyo,5037000200,GUIJUELOS (LOS),1.0,0.0,1.0,1.0,"(40.31517, 5.48231333)",Not found,17 hab.(INE2014)
1755,Castilla y León,Ávila,Bohoyo,5037000300,NAVAMEDIANA,1.0,0.0,1.0,1.0,"(40.317095, 5.413998)",Not found,26 hab.(INE2014)
1756,Castilla y León,Ávila,Bohoyo,5037000400,NAVAMOJADA,1.0,0.0,1.0,1.0,"(40.32213883, 5.461284)",Not found,33 hab.(INE2014)
1757,Castilla y León,Ávila,Bonilla de la Sierra,5038000100,BONILLA DE LA SIERRA,0.92,0.0,1.0,1.0,"(40.528888888889, 5.2641666666667)","En Bonilla de la Sierra, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",131 hab.(2021)
1758,Castilla y León,Ávila,Bonilla de la Sierra,5038000200,CABEZAS DE BONILLA,0.0,0.0,1.0,1.0,,Not found,
1759,Castilla y León,Ávila,Bonilla de la Sierra,5038000300,PAJAREJOS,0.75,0.0,1.0,1.0,"(41.390277777778, 3.5902777777778)","En Pajarejos, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",21 hab.(2021)
1760,Castilla y León,Ávila,Bonilla de la Sierra,5038000400,RIVERA DE CORNEJA,0.75,0.0,1.0,1.0,,Not found,
1761,Castilla y León,Ávila,Brabos,5039000100,BRABOS,0.0,0.0,1.0,1.0,"(40.778333333333, 4.9377777777778)","En Braşov, los veranos son cómodos, los inviernos son helados y nevados y está parcialmente nublado todo el año. Durante el transcurso del año, la temperatura generalmente varía de -7 °C a 24 °C y rara vez baja a menos de -15 °C o sube a más de 29 °C.",42 hab.(2021)
1762,Castilla y León,Ávila,Brabos,5039000200,HORCAJUELO,0.0,0.0,0.99,1.0,"(41.06, 3.5452777777778)","En Horcajuelo de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",106 hab.(2021)
1763,Castilla y León,Ávila,Bularros,5040000100,BULARROS,0.0,0.0,1.0,0.98,"(40.725996614523, 4.8665740781143)","En Buarcos, los veranos son cómodos, secos y mayormente despejados y los inviernos son fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 24 °C y rara vez baja a menos de 2 °C o sube a más de 30 °C.",63 hab.(2021)
1764,Castilla y León,Ávila,Bularros,5040000200,MUÑOYERRO,0.0,0.0,1.0,1.0,"(40.756155555556, 4.836475)","En Muñopedro, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",30 hab.(INE2018)
1765,Castilla y León,Ávila,Bularros,5040000300,VILLAVERDE,0.0,0.0,1.0,1.0,"(40.725102777778, 4.8502972222222)","En Villaverde del Río, los veranos son cortos, tórridos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 37 °C y rara vez baja a menos de 1 °C o sube a más de 41 °C.",149003 hab.
1766,Castilla y León,Ávila,Burgohondo,5041000100,BURGOHONDO,0.98,0.0,1.0,1.0,"(40.413611111111, 4.7863888888889)","En Burgohondo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1231 hab.(2021)
1767,Castilla y León,Ávila,Burgohondo,5041000200,PUENTE NUEVA,0.76,0.0,1.0,1.0,,"En Puerto Moresby, la temporada de lluvia es muy caliente y nublada; la temporada seca es caliente, ventosa y mayormente nublada y es opresivo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 31 °C y rara vez baja a menos de 21 °C o sube a más de 33 °C.",
1768,Castilla y León,Ávila,Cabezas de Alambre,5042000100,CABEZAS DE ALAMBRE,1.0,0.0,1.0,1.0,"(40.940277777778, 4.8425)","En Cabezas de Alambre, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",160 hab.(2021)
1769,Castilla y León,Ávila,Cabezas del Pozo,5043000100,CABEZAS DEL POZO,1.0,0.0,0.87,0.78,"(41.000627777778, 4.9521)","En Cabezas del Pozo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",68 hab.(2021)
1770,Castilla y León,Ávila,Cabezas del Villar,5044000100,CABEZAS DEL VILLAR,0.77,0.0,1.0,0.17,"(40.715277777778, 5.2083333333333)","En Cabezas del Villar, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",257 hab.(2021)
1771,Castilla y León,Ávila,Cabezas del Villar,5044000200,RIVILLAS DE LA CAÑADA,0.0,0.0,0.94,0.25,,Not found,
1772,Castilla y León,Ávila,Cabizuela,5045000100,CABIZUELA,0.0,0.0,0.99,1.0,"(40.901111111111, 4.8002777777778)","En Cabezuela, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 29 °C y rara vez baja a menos de -4 °C o sube a más de 33 °C.",80 hab.(2021)
1773,Castilla y León,Ávila,Canales,5046000100,CANALES,0.56,0.0,1.0,1.0,"(41.002797222222, 4.8997694444444)","En Villa Canales, la temporada de lluvia es nublada, la temporada seca es mayormente despejada y es caliente durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 14 °C a 28 °C y rara vez baja a menos de 12 °C o sube a más de 30 °C.",39 hab.(2021)
1774,Castilla y León,Ávila,Candeleda,5047000100,CANDELEDA,0.97,0.85,1.0,1.0,"(40.1557248, 5.2409617)","En Candeleda, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 34 °C y rara vez baja a menos de -3 °C o sube a más de 38 °C.",5049 hab.(2021)
1775,Castilla y León,Ávila,Candeleda,5047000200,RASO (EL),0.86,0.0,1.0,1.0,"(40.166666666667, 5.3333333333333)","En Râs el Oued, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 34 °C y rara vez baja a menos de -3 °C o sube a más de 38 °C.",423 hab.(INE2020)
1776,Castilla y León,Ávila,Cantiveros,5048000100,CANTIVEROS,0.92,0.0,1.0,1.0,"(40.952777777778, 4.9544444444444)","En Cantiveros, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",100 hab.(2021)
1777,Castilla y León,Ávila,Cardeñosa,5049000100,CARDEÑOSA,1.0,1.0,1.0,1.0,"(40.741666666667, 4.7452777777778)","En Cardeñosa, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",427 hab.(2021)
1778,Castilla y León,Ávila,"Carrera, La",5051000100,CARRERA (LA),1.0,0.0,1.0,1.0,"(40.347777777778, 5.5547222222222)","En La Cabrera, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",164 hab.(2021)
1779,Castilla y León,Ávila,"Carrera, La",5051000200,CERECEDA,1.0,0.0,1.0,1.0,,"En Cerceda, los veranos son cómodos y mayormente despejados y los inviernos son largos, fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 4 °C a 22 °C y rara vez baja a menos de -0 °C o sube a más de 27 °C.",
1780,Castilla y León,Ávila,"Carrera, La",5051000300,LANCHAREJO,1.0,0.0,1.0,1.0,,Not found,
1781,Castilla y León,Ávila,"Carrera, La",5051000400,NAVALMORO,0.85,0.0,1.0,1.0,,"En Navalmoral de la Mata, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 2 °C a 35 °C y rara vez baja a menos de -3 °C o sube a más de 39 °C.",
1782,Castilla y León,Ávila,Casas del Puerto,5052000100,CASAS DEL PUERTO,1.0,0.0,1.0,1.0,"(40.52755835, 5.19411027707)",Not found,83 hab.(2021)
1783,Castilla y León,Ávila,Casasola,5053000100,CASASOLA,0.0,0.0,1.0,1.0,"(40.668888888889, 4.8266666666667)","En Casasola de Arión, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",68 hab.(2021)
1784,Castilla y León,Ávila,Casasola,5053000200,DURUELO,0.0,0.0,1.0,1.0,"(41.235833333333, 3.6486111111111)","En Duruelo de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío, nevados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 26 °C y rara vez baja a menos de -7 °C o sube a más de 31 °C.",190 hab.(2021)
1785,Castilla y León,Ávila,Casavieja,5054000100,CASAVIEJA,0.96,0.47,1.0,1.0,"(40.281111111111, 4.7666666666667)","En Casavieja, los veranos son cortos, cálidos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 33 °C y rara vez baja a menos de -4 °C o sube a más de 37 °C.",1422 hab.(2021)
1786,Castilla y León,Ávila,Casillas,5055000100,CASILLAS,0.89,0.0,0.99,1.0,"(40.324166666667, 4.5725)",Not found,646 hab.(2021)
1787,Castilla y León,Ávila,Castellanos de Zapardiel,5056000100,CASTELLANOS DE ZAPARDIEL,0.0,0.0,1.0,0.86,"(41.085277777778, 4.9097222222222)","En Castellanos de Zapardiel, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 35 °C.",94 hab.(2021)
