,Comunidad Autónoma,Provincia,Municipio,Código ESP,Entidad Singular de Población,Cobertura ≥ 30Mbps,Cobertura redes fijas ≥ 100Mbps,Cobertura 3G HSPA,Cobertura 4G LTE,Weather_info,pob_tot_muni,partido_gov_x,pob_tot_muni.1,partido_gov_y,population,T_minMedia,T_maxMedia,T_minExtrema,T_maxExtrema,location
10,Castilla y León,Ávila,"Aldehuela, La",5010000500,SOLANAS DEL CARRASCAL,0.0,0.0,0.97,0.99,Not found,1470.0,PP,1470,PP,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
11,Castilla y León,Ávila,"Aldehuela, La",5010000600,SOLANILLAS (LAS),0.0,0.0,0.94,0.97,"En Solanillos del Extremo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1470.0,PP,1470,PP,,-1,30,-5,34,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
12,Castilla y León,Ávila,Amavida,5012000100,AMAVIDA,0.0,0.0,1.0,1.0,"En Carlota Amalia, los veranos son largos, cálidos, opresivos y mayormente nublados; los inviernos son calurosos, bochornosos, secos y mayormente despejados y está ventoso durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 32 °C y rara vez baja a menos de 22 °C o sube a más de 34 °C.",1280.0,PSOE,1280,PSOE,128 hab.(2021),23,32,22,34,"{'type': 'Point', 'coordinates': [5.0666666666667, 40.573333333333]}"
13,Castilla y León,Ávila,Amavida,5012000200,PASCUAL MUÑOZ,0.0,0.0,1.0,1.0,Not found,1280.0,PSOE,1280,PSOE,56 hab.(INE2012),,,,,"{'type': 'Point', 'coordinates': [5.05358883, 40.575499]}"
14,Castilla y León,Ávila,"Arenal, El",5013000100,ARENAL (EL),0.99,0.0,1.0,1.0,"En El Arenal, los veranos son cortos, cálidos, bochornosos, secos y mayormente despejados y los inviernos son largos, fríos, ventosos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 5 °C a 31 °C y rara vez baja a menos de 1 °C o sube a más de 34 °C.",9430.0,AVEAL,9430,AVEAL,943 hab.(2021),5,31,1,34,"{'type': 'Point', 'coordinates': [5.0872222222222, 40.264722222222]}"
15,Castilla y León,Ávila,Arenas de San Pedro,5014000100,ARENAS DE SAN PEDRO,1.0,1.0,1.0,1.0,"En Arenas de San Pedro, los veranos son cortos, cálidos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 1 °C a 33 °C y rara vez baja a menos de -4 °C o sube a más de 37 °C.",6434.0,PP,6434,PP,6434 hab.(2021),1,33,-4,37,"{'type': 'Point', 'coordinates': [5.0911111111111, 40.208888888889]}"
16,Castilla y León,Ávila,Arenas de San Pedro,5014000200,HONTANARES,0.0,0.0,1.0,1.0,"En Hontanares de Eresma, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",6434.0,PP,6434,PP,84 hab.(INE2012),-0,30,-5,34,"{'type': 'Point', 'coordinates': [4.9822222222222, 40.142777777778]}"
17,Castilla y León,Ávila,Arenas de San Pedro,5014000300,PARRA (LA),0.96,0.0,0.99,0.99,"En Parras de la Fuente, los veranos son largos y cálidos; los inviernos son cortos, frescos y secos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 32 °C y rara vez baja a menos de 1 °C o sube a más de 35 °C.",6434.0,PP,6434,PP,362 hab.(2011),6,32,1,35,"{'type': 'Point', 'coordinates': [5.0572222222222, 40.223333333333]}"
18,Castilla y León,Ávila,Arenas de San Pedro,5014000400,RAMACASTAÑAS,1.0,0.0,1.0,1.0,Not found,6434.0,PP,6434,PP,358 hab.(INE2012),,,,,"{'type': 'Point', 'coordinates': [5.0466666666667, 40.185277777778]}"
19,Castilla y León,Ávila,Arevalillo,5015000100,AREVALILLO,0.0,0.0,1.0,0.15,"En Arevalillo de Cega, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",670.0,PSOE,670,PSOE,67 hab.(2021),-1,29,-5,33,"{'type': 'Point', 'coordinates': [5.3744444444444, 40.587222222222]}"
20,Castilla y León,Ávila,Arévalo,5016000100,ARÉVALO,1.0,1.0,1.0,1.0,"En Arévalo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 34 °C.",7881.0,ARÉVALO DECIDE,7881,ARÉVALO DECIDE,7881 hab.(2021),0,30,-4,34,"{'type': 'Point', 'coordinates': [4.7166666666667, 41.066666666667]}"
21,Castilla y León,Ávila,Aveinte,5017000100,AVEINTE,1.0,0.0,1.0,1.0,"En Aveinte, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",820.0,PP,820,PP,82 hab.(2021),-1,29,-5,33,"{'type': 'Point', 'coordinates': [4.8375, 40.782222222222]}"
22,Castilla y León,Ávila,Avellaneda,5018000100,AVELLANEDA,0.0,0.0,1.0,1.0,"En Avellaneda, los veranos son cortos, cálidos, bochornosos y mojados; los inviernos son frescos y está parcialmente nublado durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 10 °C a 32 °C y rara vez baja a menos de 3 °C o sube a más de 37 °C.",260.0,PP,260,PP,26 hab.(2021),10,32,3,37,"{'type': 'Point', 'coordinates': [5.3880555555556, 40.388611111111]}"
23,Castilla y León,Ávila,Ávila,5019000100,ALAMEDILLA DEL BERROCAL,0.0,0.0,1.0,1.0,Not found,57949.0,XAV,57949,XAV,74 hab.(2016),,,,,"{'type': 'Point', 'coordinates': [4.76513, 40.7067]}"
24,Castilla y León,Ávila,Ávila,5019000200,ALDEA DEL REY NIÑO,1.0,1.0,1.0,1.0,Not found,57949.0,XAV,57949,XAV,262 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [4.74273056, 40.58598333]}"
25,Castilla y León,Ávila,Ávila,5019000300,ÁVILA,0.94,0.94,1.0,1.0,"En Ávila, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",57949.0,XAV,57949,XAV,57 949 hab.(2021),-1,29,-6,33,"{'type': 'Point', 'coordinates': [4.6962222222222, 40.654347222222]}"
26,Castilla y León,Ávila,Ávila,5019000400,BERNUY-SALINERO,0.0,0.0,1.0,1.0,Not found,57949.0,XAV,57949,XAV,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
27,Castilla y León,Ávila,Ávila,5019000700,NARRILLOS DE SAN LEONARDO,1.0,0.0,1.0,1.0,Not found,57949.0,XAV,57949,XAV,206 hab.(INE2020),,,,,"{'type': 'Point', 'coordinates': [4.724786, 40.695477]}"
28,Castilla y León,Ávila,Ávila,5019000800,URRACA-MIGUEL,0.0,0.0,1.0,0.48,Not found,57949.0,XAV,57949,XAV,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
29,Castilla y León,Ávila,Ávila,5019001000,BRIEVA-VICOLOZANO,1.0,1.0,1.0,1.0,Not found,57949.0,XAV,57949,XAV,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
30,Castilla y León,Ávila,"Barco de Ávila, El",5021000100,BARCO DE ÁVILA (EL),1.0,0.19,1.0,1.0,"En El Barco de Ávila, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",2298.0,PSOE,2298,PSOE,2298 hab.(2021),-1,29,-6,34,"{'type': 'Point', 'coordinates': [5.5236111111111, 40.359722222222]}"
31,Castilla y León,Ávila,"Barraco, El",5022000100,BARRACO (EL),0.98,0.51,1.0,0.99,"En El Barco de Ávila, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 34 °C.",1973.0,PP,1973,PP,1973 hab.(2021),-1,29,-6,34,"{'type': 'Point', 'coordinates': [4.6419444444444, 40.475277777778]}"
32,Castilla y León,Ávila,"Barraco, El",5022000200,CRUCERAS (LAS),0.0,0.0,1.0,1.0,"En Las Cruces, los veranos son cálidos y parcialmente nublados; los inviernos son cortos, fríos y mayormente despejados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 36 °C y rara vez baja a menos de -5 °C o sube a más de 40 °C.",1973.0,PP,1973,PP,,0,36,-5,40,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
33,Castilla y León,Ávila,"Barraco, El",5022000300,RINCONADA (LA),0.0,0.0,1.0,1.0,"En La Rinconada, los veranos son cortos, cálidos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 36 °C y rara vez baja a menos de 1 °C o sube a más de 41 °C.",1973.0,PP,1973,PP,,6,36,1,41,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
34,Castilla y León,Ávila,Barromán,5023000100,BARROMÁN,0.9,0.0,1.0,0.67,"En Barromán, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -4 °C o sube a más de 35 °C.",1810.0,PP,1810,PP,181 hab.(2021),0,30,-4,35,"{'type': 'Point', 'coordinates': [4.9313888888889, 41.065]}"
35,Castilla y León,Ávila,Becedas,5024000100,BECEDAS,0.68,0.0,1.0,0.99,"En Becedas, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -7 °C o sube a más de 33 °C.",1830.0,PP,1830,PP,183 hab.(2021),-2,28,-7,33,"{'type': 'Point', 'coordinates': [5.6347222222222, 40.405]}"
36,Castilla y León,Ávila,Becedas,5024000200,PALACIOS DE BECEDAS,1.0,0.0,1.0,1.0,Not found,1830.0,PP,1830,PP,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
37,Castilla y León,Ávila,Becedillas,5025000100,BECEDILLAS,0.0,0.0,1.0,0.95,"En Becedillas, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",770.0,PP,770,PP,77 hab.(2021),-1,29,-6,33,"{'type': 'Point', 'coordinates': [5.325, 40.537222222222]}"
38,Castilla y León,Ávila,Becedillas,5025000200,CASILLAS DE CHICAPIERNA,0.0,0.0,1.0,1.0,Not found,770.0,PP,770,PP,10 hab.(INE2017),,,,,"{'type': 'Point', 'coordinates': [5.3356638888889, 40.548238888889]}"
39,Castilla y León,Ávila,Bercial de Zapardiel,5026000100,BERCIAL DE ZAPARDIEL,0.99,0.0,1.0,1.0,"En Bercial de Zapardiel, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 35 °C.",1950.0,PP,1950,PP,195 hab.(2021),0,30,-5,35,"{'type': 'Point', 'coordinates': [4.9691666666667, 41.046388888889]}"
40,Castilla y León,Ávila,"Berlanas, Las",5027000100,BERLANAS (LAS),0.8,0.0,1.0,1.0,Not found,3340.0,PP,3340,PP,334 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [4.7605555555556, 40.803055555556]}"
41,Castilla y León,Ávila,Bernuy-Zapardiel,5029000100,BERNUY-ZAPARDIEL,0.0,0.0,1.0,0.99,Not found,900.0,PP,900,PP,90 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [4.9438888888889, 40.976111111111]}"
42,Castilla y León,Ávila,Berrocalejo de Aragona,5030000100,BERROCALEJO DE ARAGONA,0.0,0.0,1.0,1.0,"En Berrocalejo de Aragona, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",490.0,Agrupacion Independiente de Electores de Berrocalejo de Aragona,490,Agrupacion Independiente de Electores de Berrocalejo de Aragona,49 hab.(2021),-2,29,-6,33,"{'type': 'Point', 'coordinates': [4.5969444444444, 40.694166666667]}"
43,Castilla y León,Ávila,Blascomillán,5033000100,BERCIMUELLE,0.0,0.0,1.0,0.8,"En Bercimuel, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",1810.0,PP,1810,PP,53 hab.(INE2020),-1,29,-5,33,"{'type': 'Point', 'coordinates': [5.4983333333333, 40.521666666667]}"
44,Castilla y León,Ávila,Blascomillán,5033000200,BLASCOMILLÁN,1.0,0.0,1.0,0.99,"En Blascomillán, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1810.0,PP,1810,PP,181 hab.(2021),-1,29,-5,34,"{'type': 'Point', 'coordinates': [5.0886111111111, 40.801388888889]}"
45,Castilla y León,Ávila,Blascomillán,5033000300,CONVENTO DE DURUELO (EL),0.0,0.0,1.0,0.68,Not found,1810.0,PP,1810,PP,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
46,Castilla y León,Ávila,Blasconuño de Matacabras,5034000100,BLASCONUÑO DE MATACABRAS,0.92,0.0,1.0,1.0,Not found,140.0,PP,140,PP,14 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [4.9902777777778, 41.123333333333]}"
47,Castilla y León,Ávila,Blascosancho,5035000100,BLASCOSANCHO,0.03,0.0,1.0,1.0,"En Blascosancho, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1010.0,PP,1010,PP,101 hab.(2021),-0,30,-5,34,"{'type': 'Point', 'coordinates': [4.6358333333333, 40.877777777778]}"
48,Castilla y León,Ávila,"Bohodón, El",5036000100,BOHODÓN (EL),1.0,0.0,1.0,1.0,Not found,1170.0,PP,1170,PP,117 hab.(2021),,,,,"{'type': 'Point', 'coordinates': [4.7286388888889, 40.916061111111]}"
49,Castilla y León,Ávila,Bohoyo,5037000100,BOHOYO,1.0,0.0,1.0,1.0,"En Bohoyo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -3 °C a 28 °C y rara vez baja a menos de -8 °C o sube a más de 32 °C.",2310.0,PP,2310,PP,231 hab.(2021),-3,28,-8,32,"{'type': 'Point', 'coordinates': [5.4411111111111, 40.315]}"
50,Castilla y León,Ávila,Bohoyo,5037000200,GUIJUELOS (LOS),1.0,0.0,1.0,1.0,Not found,2310.0,PP,2310,PP,17 hab.(INE2014),,,,,"{'type': 'Point', 'coordinates': [5.48231333, 40.31517]}"
51,Castilla y León,Ávila,Bohoyo,5037000300,NAVAMEDIANA,1.0,0.0,1.0,1.0,Not found,2310.0,PP,2310,PP,26 hab.(INE2014),,,,,"{'type': 'Point', 'coordinates': [5.413998, 40.317095]}"
52,Castilla y León,Ávila,Bohoyo,5037000400,NAVAMOJADA,1.0,0.0,1.0,1.0,Not found,2310.0,PP,2310,PP,33 hab.(INE2014),,,,,"{'type': 'Point', 'coordinates': [5.461284, 40.32213883]}"
53,Castilla y León,Ávila,Bonilla de la Sierra,5038000100,BONILLA DE LA SIERRA,0.92,0.0,1.0,1.0,"En Bonilla de la Sierra, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -6 °C o sube a más de 33 °C.",1310.0,PSOE,1310,PSOE,131 hab.(2021),-1,29,-6,33,"{'type': 'Point', 'coordinates': [5.2641666666667, 40.528888888889]}"
54,Castilla y León,Ávila,Bonilla de la Sierra,5038000200,CABEZAS DE BONILLA,0.0,0.0,1.0,1.0,Not found,1310.0,PSOE,1310,PSOE,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
55,Castilla y León,Ávila,Bonilla de la Sierra,5038000300,PAJAREJOS,0.75,0.0,1.0,1.0,"En Pajarejos, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",1310.0,PSOE,1310,PSOE,21 hab.(2021),-1,29,-5,33,"{'type': 'Point', 'coordinates': [3.5902777777778, 41.390277777778]}"
56,Castilla y León,Ávila,Bonilla de la Sierra,5038000400,RIVERA DE CORNEJA,0.75,0.0,1.0,1.0,Not found,1310.0,PSOE,1310,PSOE,,,,,,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
57,Castilla y León,Ávila,Brabos,5039000100,BRABOS,0.0,0.0,1.0,1.0,"En Braşov, los veranos son cómodos, los inviernos son helados y nevados y está parcialmente nublado todo el año. Durante el transcurso del año, la temperatura generalmente varía de -7 °C a 24 °C y rara vez baja a menos de -15 °C o sube a más de 29 °C.",420.0,PSOE,420,PSOE,42 hab.(2021),-7,24,-15,29,"{'type': 'Point', 'coordinates': [4.9377777777778, 40.778333333333]}"
58,Castilla y León,Ávila,Brabos,5039000200,HORCAJUELO,0.0,0.0,0.99,1.0,"En Horcajuelo de la Sierra, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son largos, muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -2 °C a 28 °C y rara vez baja a menos de -6 °C o sube a más de 32 °C.",420.0,PSOE,420,PSOE,106 hab.(2021),-2,28,-6,32,"{'type': 'Point', 'coordinates': [3.5452777777778, 41.06]}"
59,Castilla y León,Ávila,Bularros,5040000100,BULARROS,0.0,0.0,1.0,0.98,"En Buarcos, los veranos son cómodos, secos y mayormente despejados y los inviernos son fríos, mojados y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 7 °C a 24 °C y rara vez baja a menos de 2 °C o sube a más de 30 °C.",630.0,PP,630,PP,63 hab.(2021),7,24,2,30,"{'type': 'Point', 'coordinates': [4.8665740781143, 40.725996614523]}"
60,Castilla y León,Ávila,Bularros,5040000200,MUÑOYERRO,0.0,0.0,1.0,1.0,"En Muñopedro, los veranos son cortos, calurosos, secos y mayormente despejados y los inviernos son muy frío y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 29 °C y rara vez baja a menos de -5 °C o sube a más de 33 °C.",630.0,PP,630,PP,30 hab.(INE2018),-1,29,-5,33,"{'type': 'Point', 'coordinates': [4.836475, 40.756155555556]}"
61,Castilla y León,Ávila,Bularros,5040000300,VILLAVERDE,0.0,0.0,1.0,1.0,"En Villaverde del Río, los veranos son cortos, tórridos, áridos y mayormente despejados y los inviernos son fríos y parcialmente nublados. Durante el transcurso del año, la temperatura generalmente varía de 6 °C a 37 °C y rara vez baja a menos de 1 °C o sube a más de 41 °C.",630.0,PP,630,PP,149003 hab.,6,37,1,41,"{'type': 'Point', 'coordinates': [4.8502972222222, 40.725102777778]}"
62,Castilla y León,Ávila,Burgohondo,5041000100,BURGOHONDO,0.98,0.0,1.0,1.0,"En Burgohondo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -1 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1231.0,PP,1231,PP,1231 hab.(2021),-1,30,-5,34,"{'type': 'Point', 'coordinates': [4.7863888888889, 40.413611111111]}"
63,Castilla y León,Ávila,Burgohondo,5041000200,PUENTE NUEVA,0.76,0.0,1.0,1.0,"En Puerto Moresby, la temporada de lluvia es muy caliente y nublada; la temporada seca es caliente, ventosa y mayormente nublada y es opresivo durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de 23 °C a 31 °C y rara vez baja a menos de 21 °C o sube a más de 33 °C.",1231.0,PP,1231,PP,,23,31,21,33,"{'type': 'Point', 'coordinates': [0.0, 0.0]}"
64,Castilla y León,Ávila,Cabezas de Alambre,5042000100,CABEZAS DE ALAMBRE,1.0,0.0,1.0,1.0,"En Cabezas de Alambre, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",1600.0,PP,1600,PP,160 hab.(2021),-0,30,-5,34,"{'type': 'Point', 'coordinates': [4.8425, 40.940277777778]}"
65,Castilla y León,Ávila,Cabezas del Pozo,5043000100,CABEZAS DEL POZO,1.0,0.0,0.87,0.78,"En Cabezas del Pozo, los veranos son cortos, calurosos y mayormente despejados; los inviernos son muy frío y parcialmente nublados y está seco durante todo el año. Durante el transcurso del año, la temperatura generalmente varía de -0 °C a 30 °C y rara vez baja a menos de -5 °C o sube a más de 34 °C.",680.0,PSOE,680,PSOE,68 hab.(2021),-0,30,-5,34,"{'type': 'Point', 'coordinates': [4.9521, 41.000627777778]}"
